id,name,heroType,baseAttack,baseDefense,baseHp,compatibleEquipmentIds
3ff64455-d182-4fcc-b677-ec018cca7abb,李白,ASSASSIN,170,90,2800,95718e7d-28a6-449e-b5a4-36e38e360b3a;f081fafe-6a1f-4276-9ad9-d37c115dae73;85907a8c-a430-40da-aaec-502fc4d079c5;ed7ace93-bfb8-4727-9cc0-bb1df46360a8;481794e3-e1cf-43de-94e4-59152e04eebb
c6fc98ba-9a5f-4ac4-8519-24513dd0e5ca,韩信,ASSASSIN,175,85,2600,95718e7d-28a6-449e-b5a4-36e38e360b3a;f081fafe-6a1f-4276-9ad9-d37c115dae73;85907a8c-a430-40da-aaec-502fc4d079c5;ed7ace93-bfb8-4727-9cc0-bb1df46360a8;481794e3-e1cf-43de-94e4-59152e04eebb
2b7b323c-441c-4046-892e-46280fe0f8c1,兰陵王,ASSASSIN,180,80,2700,f081fafe-6a1f-4276-9ad9-d37c115dae73;cfc09349-e050-4951-8332-2460d7901c24;85907a8c-a430-40da-aaec-502fc4d079c5;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
e1e6d97c-378e-4b4c-b4b8-2acf3dd94f26,妲己,MAGE,50,70,2400,a09cc3b4-f06c-4e22-86f9-5b5c45a72137;0e7f5dcc-ef6e-42e7-9789-11bf0bc26c2a;5fbec58e-761d-4e05-baca-d9bcd499741d;ca2fb8cf-5ece-4024-b349-f8e221af4d4d
728ff963-1b7b-4621-8ec3-666025ee42a8,安琪拉,MAGE,45,65,2500,a09cc3b4-f06c-4e22-86f9-5b5c45a72137;0e7f5dcc-ef6e-42e7-9789-11bf0bc26c2a;11519189-7bca-48eb-8d6b-b2a76a00585d;ca2fb8cf-5ece-4024-b349-f8e221af4d4d
3fc54e18-a306-4ae3-bf1d-1291b264b01e,貂蝉,MAGE,55,75,2600,a09cc3b4-f06c-4e22-86f9-5b5c45a72137;0e7f5dcc-ef6e-42e7-9789-11bf0bc26c2a;1716379d-9068-4070-a393-9972d6df845f;ca2fb8cf-5ece-4024-b349-f8e221af4d4d
260f1fa0-fcad-4d2d-8f06-cc79aac9bb07,鲁班七号,MARKSMAN,160,60,2300,95718e7d-28a6-449e-b5a4-36e38e360b3a;199f18e0-4f03-4733-917d-acce6b9af42d;85907a8c-a430-40da-aaec-502fc4d079c5;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
28b9976c-666a-4a9a-8be7-480e7926172f,后羿,MARKSMAN,155,65,2400,95718e7d-28a6-449e-b5a4-36e38e360b3a;199f18e0-4f03-4733-917d-acce6b9af42d;f081fafe-6a1f-4276-9ad9-d37c115dae73;ed7ace93-bfb8-4727-9cc0-bb1df46360a8
7545bd67-3373-4597-abd7-22671420586d,亚瑟,WARRIOR,140,120,3200,f081fafe-6a1f-4276-9ad9-d37c115dae73;621a67f6-4978-42ea-bc30-298a78c3ce95;307e1f13-2cfd-45ae-86df-ce90dcb6dde0;7deb8b2e-1722-4824-a7d2-72c052bc51f8
1adbb92f-5cf9-461a-9d47-3c24b0ca41ac,关羽,WARRIOR,150,110,3100,f081fafe-6a1f-4276-9ad9-d37c115dae73;cfc09349-e050-4951-8332-2460d7901c24;621a67f6-4978-42ea-bc30-298a78c3ce95;e207f862-5543-4d11-b8bc-e655c7ab1ae6
fc83f13d-a8f3-4f0e-9103-27b565d6c4cf,铠,WARRIOR,145,115,3300,f081fafe-6a1f-4276-9ad9-d37c115dae73;85907a8c-a430-40da-aaec-502fc4d079c5;621a67f6-4978-42ea-bc30-298a78c3ce95;307e1f13-2cfd-45ae-86df-ce90dcb6dde0
0c6c55d9-1963-464b-8678-1607af1503a0,张飞,TANK,80,180,4000,621a67f6-4978-42ea-bc30-298a78c3ce95;7deb8b2e-1722-4824-a7d2-72c052bc51f8;86e73071-63da-4def-849d-d02684e82c57;e207f862-5543-4d11-b8bc-e655c7ab1ae6
3451be5d-6d13-4f54-ac4f-ce8aedf64dc8,廉颇,TANK,75,190,4200,621a67f6-4978-42ea-bc30-298a78c3ce95;307e1f13-2cfd-45ae-86df-ce90dcb6dde0;7deb8b2e-1722-4824-a7d2-72c052bc51f8;e207f862-5543-4d11-b8bc-e655c7ab1ae6
d6008969-b2b5-4406-9542-be37a4556a36,蔡文姬,SUPPORT,40,80,2600,9e6b46e1-243d-427c-afb8-93350f0f10cb;ca2fb8cf-5ece-4024-b349-f8e221af4d4d;86e73071-63da-4def-849d-d02684e82c57
25fe5fc9-97f9-4c58-a8ef-49ef7ee1c3c5,瑶,SUPPORT,35,75,2500,9e6b46e1-243d-427c-afb8-93350f0f10cb;615a83d5-f6b2-493d-9cdd-b543e337db07;ca2fb8cf-5ece-4024-b349-f8e221af4d4d
